"208579 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1213,37 0 1213,37 175 710000 0 0 3 ""8491"" 0 0 0 0 0 no "
"209270 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 630,8 0 630,8 175 740000 0 0 5 ""4161"" 0 0 0 0 0 no "
"215459 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 501,79 0 128,06 175 760000 0 0 3 ""903"" 0 0 0 0 0 no "
"230078 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1554,72 213,94 765,13 175 770000 0 0 1 ""2241"" 0 0 0 0 0 no "
"230227 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 508,73 0 201,25 175 780000 0 0 6 ""224?"" 0 0 0 0 0 no "
"230516 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 704,05 202,39 394,53 175 770000 0 0 0 ""PKV"" 0 0 0 0 0 no "
"230763 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 489,78 0 489,78 175 770000 0 0 3 ""8491"" 0 0 0 0 0 no "
"230789 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 652,78 0 239,44 175 760000 0 0 0 ""8491"" 0 0 0 0 0 no "
"231720 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 643,4 39,53 343,04 175 770000 0 0 0 ""4971"" 0 0 0 0 0 no "
"232082 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 719,06 0 235,42 175 760000 0 0 3 ""151?"" 0 0 0 0 0 no "
"232249 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 788,03 0 788,03 175 760000 0 0 1 ""1511"" 0 0 0 0 0 no "
"232439 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1563,37 0 1563,37 175 710000 0 0 3 ""1511"" 0 0 0 0 0 no "
"252585 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 4564,87 0 4564,87 175 710000 0 0 3 ""1511"" 0 0 0 0 0 no "
"253286 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1392,57 0 1392,57 175 710000 0 0 3 ""1912"" 0 0 0 0 0 no "
"253864 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 416,15 0 109,86 175 760000 0 0 0 ""8491"" 0 0 0 0 0 no "
"254482 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 269,67 0 144,38 175 740000 0 0 0 ""8490"" 0 0 0 0 0 no "
"255281 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 554,02 76,11 257,91 175 770000 0 0 3 ""8812"" 0 0 0 0 0 no "
"255638 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 845,34 92,99 410,78 175 770000 0 0 5 ""2440"" 0 0 0 0 0 no "
"255935 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 467,57 0 133,16 175 760000 0 0 1 ""8812"" 0 0 0 0 0 no "
"256081 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 682,66 0 273,06 175 760000 0 0 3 ""7081"" 0 0 0 0 0 no "
"256313 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 450,74 0 169,03 175 791000 0 0 1 ""0471"" 0 0 0 0 0 no "
"256727 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 505,02 0 258,27 175 760000 0 0 3 ""2442"" 0 0 0 0 0 no "
"256883 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 280,19 35,35 127,17 175 770000 0 0 4 ""2442"" 0 0 0 0 0 no "
"258624 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 214,04 0 86,22 175 760000 0 0 6 ""8492"" 0 0 0 0 0 no "
"259010 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 479,81 0 158,82 175 760000 0 0 0 ""2441"" 0 0 0 0 0 no "
"265024 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 694,41 0 257 175 760000 0 0 0 ""0472"" 0 0 0 0 0 no "
"269035 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 229,29 0 229,29 177 750000 0 0 3 ""2441"" 0 0 0 0 0 no "
"269076 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1385,76 0 1385,76 177 710000 0 0 3 ""1421"" 0 0 0 0 0 no "
"280040 01/10/2025 07/10/2025 5281,13 422,54 0 0 """" 0 """" 6573,32 0 2921,18 175 710000 0 1 6 ""PKV"" 0 0 0 0 0 no "
"280149 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 889,97 254,51 615,58 175 770000 0 0 3 ""1511"" 0 0 0 0 0 no "
"280271 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 2046,7 0 1436,99 175 710000 0 0 0 ""4860"" 0 0 0 0 0 no "
